"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Fernando Tatis Jr.","SDP","151","651","566","163","32","2","48","118","119","73","161","6","31","8","",".289",".373",".606",".979",".406","","-2.0","3.9","","7.6","","1.9","19709"
"Juan Soto","WSN","156","672","523","163","29","3","36","116","115","140","100","4","12","5","",".312",".457",".584","1.041",".433","","-0.1","-0.8","","7.4","","4.1","20123"
"Mike Trout","LAA","147","637","508","138","26","3","39","105","105","112","149","12","10","2","",".272",".412",".564",".976",".406","","0.4","1.1","","6.5","","13.4","10155"
"Jose Ramirez","CLE","154","665","573","155","37","4","35","102","108","79","95","7","26","6","",".271",".363",".533",".895",".375","","2.2","2.7","","6.2","","4.0","13510"
"Aaron Judge","NYY","152","658","565","155","25","0","41","100","107","82","173","5","6","2","",".275",".369",".537",".906",".383","","7.6","-0.2","","6.0","","35.9","15640"
"Vladimir Guerrero Jr.","TOR","154","665","577","176","31","2","45","114","118","78","101","5","3","1","",".306",".392",".598",".990",".413","","-0.3","-1.2","","6.0","","5.3","19611"
"Mookie Betts","LAD","156","672","574","160","34","3","30","114","83","82","103","8","18","5","",".279",".373",".504",".878",".373","","9.4","1.9","","5.8","","14.6","13611"
"Ronald Acuna Jr.","ATL","131","567","476","134","25","2","36","104","84","75","138","10","23","8","",".281",".387",".565",".952",".400","","1.8","1.7","","5.6","","11.9","18401"
"Trea Turner","LAD","154","665","605","179","33","4","27","103","87","48","116","6","30","7","",".296",".351",".496",".847",".360","","-2.6","3.9","","5.4","","1.9","16252"
"Alex Bregman","HOU","146","630","529","144","34","1","26","91","93","87","84","8","3","1","",".272",".380",".490",".870",".372","","-0.6","-0.8","","5.3","","84.5","17678"
"Carlos Correa","","147","637","555","154","32","1","28","90","96","70","122","5","1","0","",".276",".359",".488",".848",".361","","2.0","0.1","","5.3","","95.5","14162"
"Wander Franco","TBR","149","644","584","167","32","9","19","93","84","49","83","5","10","6","",".286",".343",".471",".814",".348","","1.8","-0.6","","5.1","","54.8","23667"
"Bryce Harper","PHI","156","672","545","147","34","1","36","103","106","114","155","6","14","4","",".270",".399",".538",".937",".392","","-1.8","-0.9","","5.0","","9.5","11579"
"Kyle Tucker","HOU","147","637","570","161","35","4","32","94","104","58","114","4","19","4","",".283",".350",".528",".878",".370","","3.2","1.6","","5.0","","12.4","18345"
"Bo Bichette","TOR","152","658","604","175","35","2","29","103","98","43","123","5","21","5","",".291",".341",".500",".841",".358","","-1.3","1.8","","5.0","","5.4","19612"
"Matt Olson","OAK","154","665","565","147","29","0","40","95","112","84","138","9","3","1","",".261",".363",".526",".889",".373","","5.0","-0.8","","4.9","","38.8","14344"
"Corey Seager","TEX","136","588","520","151","33","3","25","88","87","56","97","5","4","1","",".291",".363",".509",".872",".370","","-3.2","0.4","","4.9","","76.4","13624"
"Marcus Semien","TEX","154","665","590","155","32","2","30","97","82","66","123","3","12","4","",".264",".339",".479",".817",".349","","4.2","1.1","","4.9","","33.2","12533"
"Byron Buxton","MIN","131","567","524","141","36","3","32","85","86","29","139","7","18","4","",".268",".313",".529",".843",".354","","7.2","2.4","","4.9","","61.4","14161"
"Francisco Lindor","NYM","152","658","582","150","30","3","29","93","87","62","114","6","15","6","",".257",".333",".465",".798",".339","","4.9","0.0","","4.8","","50.1","12916"
"Luis Robert","CHW","149","644","588","166","32","4","29","89","90","39","152","9","18","6","",".282",".335",".499",".834",".353","","2.5","0.7","","4.8","","17.6","20043"
"Yasmani Grandal","CHW","134","539","434","102","18","1","26","72","77","94","131","5","1","1","",".235",".373",".461",".835",".362","","1.2","-2.7","","4.7","","94.5","11368"
"Freddie Freeman","","159","686","587","171","34","2","30","104","97","86","117","7","7","3","",".292",".387",".512",".899",".379","","2.0","-0.2","","4.7","","17.9","5361"
"Rafael Devers","BOS","154","665","597","168","39","2","37","102","111","57","138","6","6","4","",".281",".347",".537",".885",".371","","-4.5","0.0","","4.6","","16.1","17350"
"Manny Machado","SDP","156","672","596","163","30","2","31","90","107","66","111","4","11","4","",".274",".347",".490",".837",".352","","1.9","-0.4","","4.6","","22.3","11493"
"Xander Bogaerts","BOS","154","665","587","165","39","1","26","91","95","68","122","4","7","2","",".281",".357",".488",".845",".360","","-4.7","0.6","","4.6","","43.2","12161"
"Trevor Story","","149","644","574","148","33","4","28","90","85","56","158","8","23","7","",".258",".331",".477",".808",".344","","1.5","1.8","","4.5","","39.1","12564"
"Brandon Lowe","TBR","143","616","538","132","28","2","34","88","94","64","172","9","7","2","",".245",".333",".493",".826",".350","","-0.6","1.3","","4.5","","77.3","18882"
"Yordan Alvarez","HOU","146","630","557","159","35","1","39","96","119","62","149","7","2","1","",".285",".362",".561",".922",".386","","0.0","-0.4","","4.4","","28.7","19556"
"Nolan Arenado","STL","156","672","604","159","31","2","32","86","103","57","101","4","2","1","",".263",".327",".478",".805",".338","","6.0","0.0","","4.3","","64.3","9777"
"George Springer","TOR","151","651","567","149","28","3","35","104","92","70","138","8","8","3","",".263",".350",".506",".856",".364","","-2.0","-0.1","","4.3","","57.6","12856"
